Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
budgetary commitment,make,annual instalment,in annual instalments,['annual instalment'],TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"[' \nFor each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for \nthe Union. It shall comprise: \n(a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of \nthe provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure \noccasioned by implementation of those provisions where it is charged to the budget; \n(b) the revenue and expenditure of the European Atomic Energy Community. ', ' \nThe budget shall contain differentiated appropriations, which consist of commitment appropriations and payment \nappropriations, and non-differentiated appropriations. \nThe appropriations authorised for the financial year shall consist of: \n(a) appropriations provided in the budget, including by amending budgets; \n(b) appropriations carried over from preceding financial years; \n(c) appropriations made available again in accordance with Article 15; \n(d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of \nArticle 12(4); \n(e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from \npreceding financial years. ', ' \nCommitment appropriations shall cover the total cost of the legal commitments entered into during the financial \nyear, subject to Article 114(2). ', ' \nPayment appropriations shall cover payments made to honour the legal commitments entered into in the financial \nyear or preceding financial years. ', ' \nParagraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary \ncommitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of \nArticle 112(1) and in Article 112(2). ']",in annual instalments
appropriation,be,expenditure,only for an item of expenditure considered necessary,"['item', 'expenditure']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,"[' \nAll revenue and expenditure shall be booked to a budget line. ', ' \nWithout prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no \nexpenditure may be committed or authorised in excess of the authorised appropriations.   \x0c ', ' \nAn appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. ', ' \nInterest generated by pre-financing payments made from the budget shall not be due to the Union except as \notherwise provided in the contribution agreements or the financing agreements concerned. \nCHAPTER 2 \nPrinciple of annuality ']",only for an item of expenditure considered necessary
interest generate prefinance payment budget,be,union,due to the union except as otherwise provided in the contribution agreements or the financing agreements concerned,"['union', 'contribution agreement', 'financing agreement']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,"[' \nAll revenue and expenditure shall be booked to a budget line. ', ' \nWithout prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no \nexpenditure may be committed or authorised in excess of the authorised appropriations.   \x0c ', ' \nAn appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. ', ' \nInterest generated by pre-financing payments made from the budget shall not be due to the Union except as \notherwise provided in the contribution agreements or the financing agreements concerned. \nCHAPTER 2 \nPrinciple of annuality ']",due to the union except as otherwise provided in the contribution agreements or the financing agreements concerned
global budgetary commitment,refer,article,however to in article 112(4,['article'],TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations ,"[' \nThe revenue of a financial year shall be entered in the accounts for that year on the basis of the amounts collected \nduring it. However, the own resources for the month of January of the following financial year may be made available in \nadvance pursuant to Regulation (EU, Euratom) No 609/2014. ', ' \nThe entries in respect of the Value Added Tax (VAT) and Gross National Income-based own resources may be \nadjusted in accordance with Regulation (EU, Euratom) No 609/2014. ', ' \nCommitments shall be entered in the accounts for a financial year on the basis of the legal commitments entered \ninto up to 31 December of that year. However, the global budgetary commitments referred to in Article 112(4) shall be \nentered in the accounts for a financial year on the basis of the budgetary commitments up to 31 December of that year. ', ' \nPayments shall be entered in the accounts for a financial year on the basis of the payments made by the accounting \nofficer by 31 December of that year. ', ' \nBy way of derogation from paragraphs 3 and 4: \n(a) the expenditure of the European Agricultural Guarantee Fund (EAGF) shall be entered in the accounts for a financial \nyear on the basis of the repayments made by the Commission to Member States by 31 December of that year, \nprovided that the payment order has reached the accounting officer by 31 January of the following financial year; \n(b) expenditure implemented under shared management with the exception of the EAGF shall be entered in the accounts \nfor a financial year on the basis of the reimbursements made by the Commission to Member States by 31 December \nof that year, including the expenditure charged by 31 January of the following financial year as laid down in \nArticles 30 and 31. ']",however to in article 1124
carryover noncommitte appropriation,refer,paragraph,to in point of the first subparagraph of this paragraph,"['point', 'subparagraph', 'paragraph']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations ,"[' \nAppropriations which have not been used by the end of the financial year for which they were entered shall be \ncancelled, unless they are carried over in accordance with paragraphs 2 to 8. ', ' \nThe following appropriations may be carried over by a decision taken pursuant to paragraph 3, but only to the \nfollowing financial year: \n(a) commitment appropriations and non-differentiated appropriations, for which most of the preparatory stages of the \ncommitment procedure have been completed by 31 December of the financial year. Such appropriations may be \ncommitted up to 31 March of the following financial year, with the exception of non-differentiated appropriations \nrelated to building projects which may be committed up to 31 December of the following financial year; \n(b) appropriations which are necessary when the legislative authority has adopted a basic act in the final quarter of the \nfinancial year and the Commission has been unable to commit the appropriations provided for that purpose by \n31 December of that year. Such appropriations may be committed up to 31 December of the following financial year; \n(c) payment appropriations which are needed to cover existing commitments or commitments linked to commitment \nappropriations carried over, where the payment appropriations provided for in the relevant budget lines for the \nfollowing financial year are insufficient; \n(d) non-committed appropriations relating to the actions referred to in Article 4(1) of Regulation (EU) No 1306/2013 of \nthe European Parliament and of the Council ( 1 ). \nWith regard to point (c) of the first subparagraph, the Union institution concerned shall first use the appropriations \nauthorised for the current financial year and shall not use the appropriations carried over until the former are exhausted. \nCarry-overs of non-committed appropriations as referred to in point (d) of the first subparagraph of this paragraph shall \nnot exceed, within a limit of 2 % of the initial appropriations voted by the European Parliament and by the Council, the \namount of the adjustment of direct payments applied in accordance with Article 26 of Regulation (EU) No 1306/2013 \nduring the preceding financial year. Appropriations which are carried over shall be returned to the budget lines which \ncover the actions referred to in point (b) of Article 4(1) of Regulation (EU) No 1306/2013. ', ' \nThe Union institution concerned shall take its decision on carry-overs as referred to in paragraph 2 by 15 February \nof the following financial year. It shall inform the European Parliament and the Council by 15 March of that year of the \ncarry-over decision it has taken. It shall also state, for each budget line, how the criteria in points (a), (b) and (c) of the \nfirst subparagraph of paragraph 2 have been applied to each carry-over. ', ' \nAppropriations shall be automatically carried over in respect of: \n(a) commitment appropriations for the Emergency Aid Reserve and for the European Union Solidarity Fund. Such \nappropriations may be carried over only to the following financial year and may be committed up to \n31 December of that year; \n(b) appropriations corresponding to internal assigned revenue. Such appropriations may be carried over only to the \nfollowing financial year and may be committed up to 31 December of that year, with the exception of the internal \nassigned revenue from lettings and the sale of buildings and land which may be carried over until it is fully used. \nCommitment appropriations, as referred to in Regulation (EU) No 1303/2013 and in Regulation (EU) No 514/2014 \nof the European Parliament and of the Council ( 2 ), which are available on 31 December arising from repayments of \npre-financing payments may be carried over until the closure of the programme and used when necessary, provided \nthat other commitment appropriations are no longer available; \n(c) appropriations corresponding to external assigned revenue. Such appropriations shall be fully used by the time all the \noperations relating to the programme or action to which they are assigned have been carried out or they may be \ncarried over and used for the succeeding programme or action. This shall not apply to the revenue referred to in \npoint (iii) of Article 21(2)(g) for which appropriations not committed within five years shall be cancelled;   \nL 193/33  549).  112).\n\x0c \n(d) payment appropriations related to the EAGF resulting from suspensions in accordance with Article 41 of Regulation \n(EU) No 1306/2013. ', ' \nThe treatment of external assigned revenue as referred to in point (c) of paragraph 4 of this Article resulting from \nthe participation of European Free Trade Association (EFTA) States in certain Union programmes in accordance with \npoint (e) of Article 21(2) shall be in line with Protocol No 32 annexed to the Agreement on the European Economic Area \n(EEA Agreement). ', ' \nIn addition to the information provided for in paragraph 3, the Union institution concerned shall submit to the \nEuropean Parliament and to the Council information on appropriations which were automatically carried over, including \nthe amounts involved and the provision of this Article under which the appropriations were carried over. ', ' \nNon-differentiated appropriations legally committed at the end of the financial year shall be paid until the end of \nthe following financial year. ', ' \nWithout prejudice to paragraph 4, appropriations placed in reserve and appropriations for staff expenditure shall \nnot be carried over. For the purposes of this Article, staff expenditure comprises remuneration and allowances for \nmembers and for staff of Union institutions who are subject to the Staff Regulations. ']",to in point of the first subparagraph of this paragraph
union institution concern,refer,follow financial year,to in paragraph 2 by 15 february of the following financial year,"['paragraph', '15 february', 'follow financial year']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations ,"[' \nAppropriations which have not been used by the end of the financial year for which they were entered shall be \ncancelled, unless they are carried over in accordance with paragraphs 2 to 8. ', ' \nThe following appropriations may be carried over by a decision taken pursuant to paragraph 3, but only to the \nfollowing financial year: \n(a) commitment appropriations and non-differentiated appropriations, for which most of the preparatory stages of the \ncommitment procedure have been completed by 31 December of the financial year. Such appropriations may be \ncommitted up to 31 March of the following financial year, with the exception of non-differentiated appropriations \nrelated to building projects which may be committed up to 31 December of the following financial year; \n(b) appropriations which are necessary when the legislative authority has adopted a basic act in the final quarter of the \nfinancial year and the Commission has been unable to commit the appropriations provided for that purpose by \n31 December of that year. Such appropriations may be committed up to 31 December of the following financial year; \n(c) payment appropriations which are needed to cover existing commitments or commitments linked to commitment \nappropriations carried over, where the payment appropriations provided for in the relevant budget lines for the \nfollowing financial year are insufficient; \n(d) non-committed appropriations relating to the actions referred to in Article 4(1) of Regulation (EU) No 1306/2013 of \nthe European Parliament and of the Council ( 1 ). \nWith regard to point (c) of the first subparagraph, the Union institution concerned shall first use the appropriations \nauthorised for the current financial year and shall not use the appropriations carried over until the former are exhausted. \nCarry-overs of non-committed appropriations as referred to in point (d) of the first subparagraph of this paragraph shall \nnot exceed, within a limit of 2 % of the initial appropriations voted by the European Parliament and by the Council, the \namount of the adjustment of direct payments applied in accordance with Article 26 of Regulation (EU) No 1306/2013 \nduring the preceding financial year. Appropriations which are carried over shall be returned to the budget lines which \ncover the actions referred to in point (b) of Article 4(1) of Regulation (EU) No 1306/2013. ', ' \nThe Union institution concerned shall take its decision on carry-overs as referred to in paragraph 2 by 15 February \nof the following financial year. It shall inform the European Parliament and the Council by 15 March of that year of the \ncarry-over decision it has taken. It shall also state, for each budget line, how the criteria in points (a), (b) and (c) of the \nfirst subparagraph of paragraph 2 have been applied to each carry-over. ', ' \nAppropriations shall be automatically carried over in respect of: \n(a) commitment appropriations for the Emergency Aid Reserve and for the European Union Solidarity Fund. Such \nappropriations may be carried over only to the following financial year and may be committed up to \n31 December of that year; \n(b) appropriations corresponding to internal assigned revenue. Such appropriations may be carried over only to the \nfollowing financial year and may be committed up to 31 December of that year, with the exception of the internal \nassigned revenue from lettings and the sale of buildings and land which may be carried over until it is fully used. \nCommitment appropriations, as referred to in Regulation (EU) No 1303/2013 and in Regulation (EU) No 514/2014 \nof the European Parliament and of the Council ( 2 ), which are available on 31 December arising from repayments of \npre-financing payments may be carried over until the closure of the programme and used when necessary, provided \nthat other commitment appropriations are no longer available; \n(c) appropriations corresponding to external assigned revenue. Such appropriations shall be fully used by the time all the \noperations relating to the programme or action to which they are assigned have been carried out or they may be \ncarried over and used for the succeeding programme or action. This shall not apply to the revenue referred to in \npoint (iii) of Article 21(2)(g) for which appropriations not committed within five years shall be cancelled;   \nL 193/33  549).  112).\n\x0c \n(d) payment appropriations related to the EAGF resulting from suspensions in accordance with Article 41 of Regulation \n(EU) No 1306/2013. ', ' \nThe treatment of external assigned revenue as referred to in point (c) of paragraph 4 of this Article resulting from \nthe participation of European Free Trade Association (EFTA) States in certain Union programmes in accordance with \npoint (e) of Article 21(2) shall be in line with Protocol No 32 annexed to the Agreement on the European Economic Area \n(EEA Agreement). ', ' \nIn addition to the information provided for in paragraph 3, the Union institution concerned shall submit to the \nEuropean Parliament and to the Council information on appropriations which were automatically carried over, including \nthe amounts involved and the provision of this Article under which the appropriations were carried over. ', ' \nNon-differentiated appropriations legally committed at the end of the financial year shall be paid until the end of \nthe following financial year. ', ' \nWithout prejudice to paragraph 4, appropriations placed in reserve and appropriations for staff expenditure shall \nnot be carried over. For the purposes of this Article, staff expenditure comprises remuneration and allowances for \nmembers and for staff of Union institutions who are subject to the Staff Regulations. ']",to in paragraph 2 by 15 february of the following financial year
commitment appropriation,be,available appropriation,available appropriations corresponding to external assigned revenue no longer,"['available appropriation', 'external assign revenue']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations ,"[' \nAppropriations which have not been used by the end of the financial year for which they were entered shall be \ncancelled, unless they are carried over in accordance with paragraphs 2 to 8. ', ' \nThe following appropriations may be carried over by a decision taken pursuant to paragraph 3, but only to the \nfollowing financial year: \n(a) commitment appropriations and non-differentiated appropriations, for which most of the preparatory stages of the \ncommitment procedure have been completed by 31 December of the financial year. Such appropriations may be \ncommitted up to 31 March of the following financial year, with the exception of non-differentiated appropriations \nrelated to building projects which may be committed up to 31 December of the following financial year; \n(b) appropriations which are necessary when the legislative authority has adopted a basic act in the final quarter of the \nfinancial year and the Commission has been unable to commit the appropriations provided for that purpose by \n31 December of that year. Such appropriations may be committed up to 31 December of the following financial year; \n(c) payment appropriations which are needed to cover existing commitments or commitments linked to commitment \nappropriations carried over, where the payment appropriations provided for in the relevant budget lines for the \nfollowing financial year are insufficient; \n(d) non-committed appropriations relating to the actions referred to in Article 4(1) of Regulation (EU) No 1306/2013 of \nthe European Parliament and of the Council ( 1 ). \nWith regard to point (c) of the first subparagraph, the Union institution concerned shall first use the appropriations \nauthorised for the current financial year and shall not use the appropriations carried over until the former are exhausted. \nCarry-overs of non-committed appropriations as referred to in point (d) of the first subparagraph of this paragraph shall \nnot exceed, within a limit of 2 % of the initial appropriations voted by the European Parliament and by the Council, the \namount of the adjustment of direct payments applied in accordance with Article 26 of Regulation (EU) No 1306/2013 \nduring the preceding financial year. Appropriations which are carried over shall be returned to the budget lines which \ncover the actions referred to in point (b) of Article 4(1) of Regulation (EU) No 1306/2013. ', ' \nThe Union institution concerned shall take its decision on carry-overs as referred to in paragraph 2 by 15 February \nof the following financial year. It shall inform the European Parliament and the Council by 15 March of that year of the \ncarry-over decision it has taken. It shall also state, for each budget line, how the criteria in points (a), (b) and (c) of the \nfirst subparagraph of paragraph 2 have been applied to each carry-over. ', ' \nAppropriations shall be automatically carried over in respect of: \n(a) commitment appropriations for the Emergency Aid Reserve and for the European Union Solidarity Fund. Such \nappropriations may be carried over only to the following financial year and may be committed up to \n31 December of that year; \n(b) appropriations corresponding to internal assigned revenue. Such appropriations may be carried over only to the \nfollowing financial year and may be committed up to 31 December of that year, with the exception of the internal \nassigned revenue from lettings and the sale of buildings and land which may be carried over until it is fully used. \nCommitment appropriations, as referred to in Regulation (EU) No 1303/2013 and in Regulation (EU) No 514/2014 \nof the European Parliament and of the Council ( 2 ), which are available on 31 December arising from repayments of \npre-financing payments may be carried over until the closure of the programme and used when necessary, provided \nthat other commitment appropriations are no longer available; \n(c) appropriations corresponding to external assigned revenue. Such appropriations shall be fully used by the time all the \noperations relating to the programme or action to which they are assigned have been carried out or they may be \ncarried over and used for the succeeding programme or action. This shall not apply to the revenue referred to in \npoint (iii) of Article 21(2)(g) for which appropriations not committed within five years shall be cancelled;   \nL 193/33  549).  112).\n\x0c \n(d) payment appropriations related to the EAGF resulting from suspensions in accordance with Article 41 of Regulation \n(EU) No 1306/2013. ', ' \nThe treatment of external assigned revenue as referred to in point (c) of paragraph 4 of this Article resulting from \nthe participation of European Free Trade Association (EFTA) States in certain Union programmes in accordance with \npoint (e) of Article 21(2) shall be in line with Protocol No 32 annexed to the Agreement on the European Economic Area \n(EEA Agreement). ', ' \nIn addition to the information provided for in paragraph 3, the Union institution concerned shall submit to the \nEuropean Parliament and to the Council information on appropriations which were automatically carried over, including \nthe amounts involved and the provision of this Article under which the appropriations were carried over. ', ' \nNon-differentiated appropriations legally committed at the end of the financial year shall be paid until the end of \nthe following financial year. ', ' \nWithout prejudice to paragraph 4, appropriations placed in reserve and appropriations for staff expenditure shall \nnot be carried over. For the purposes of this Article, staff expenditure comprises remuneration and allowances for \nmembers and for staff of Union institutions who are subject to the Staff Regulations. ']",available appropriations corresponding to external assigned revenue no longer
commitment appropriation nondifferentiate appropriation,refer,article,to in point of the first subparagraph of article 12(2,"['point', 'subparagraph', 'article']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 13  Detailed provisions on cancellation and carry-over of appropriations ,"[' \nThe commitment appropriations and the non-differentiated appropriations referred to in point (a) of the first \nsubparagraph of Article 12(2) may be carried over only if the commitments could not be made before 31 December \nof the financial year for reasons not attributable to the authorising officer and if the preparatory stages are sufficiently \nadvanced to make it reasonable to expect that the commitment will be made by 31 March of the following financial year, \nor, in relation to building projects, by 31 December of the following financial year. ', ' \nThe preparatory stages referred to in point (a) of the first subparagraph of Article 12(2), which shall be completed \nby 31 December of the financial year in order to allow a carry-over to the following financial year, are in particular: \n(a) for individual budgetary commitments within the meaning of point (a) of the first subparagraph of Article 112(1), the \ncompletion of the selection of potential contractors, beneficiaries, prize winners or delegates; \n(b) for global budgetary commitments within the meaning of point (b) of the first subparagraph of Article 112(1), the \nadoption of a financing decision or the closing of the consultation of the departments concerned within each Union \ninstitution on the adoption of the financing decision. ', ' \nAppropriations carried over in accordance with point (a) of the first subparagraph of Article 12(2) which have not \nbeen committed by 31 March of the following financial year, or by 31 December of the following financial year for \namounts relating to building projects, shall be automatically cancelled. \nThe Commission shall inform the European Parliament and the Council of the appropriations cancelled in accordance \nwith the first subparagraph within one month following the cancellation. ']",to in point of the first subparagraph of article 122
commitment,make,financial year,only before 31 december of the financial year for reasons not attributable to the authorising officer,"['31 december', 'financial year', 'reason', 'authorise officer']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 13  Detailed provisions on cancellation and carry-over of appropriations ,"[' \nThe commitment appropriations and the non-differentiated appropriations referred to in point (a) of the first \nsubparagraph of Article 12(2) may be carried over only if the commitments could not be made before 31 December \nof the financial year for reasons not attributable to the authorising officer and if the preparatory stages are sufficiently \nadvanced to make it reasonable to expect that the commitment will be made by 31 March of the following financial year, \nor, in relation to building projects, by 31 December of the following financial year. ', ' \nThe preparatory stages referred to in point (a) of the first subparagraph of Article 12(2), which shall be completed \nby 31 December of the financial year in order to allow a carry-over to the following financial year, are in particular: \n(a) for individual budgetary commitments within the meaning of point (a) of the first subparagraph of Article 112(1), the \ncompletion of the selection of potential contractors, beneficiaries, prize winners or delegates; \n(b) for global budgetary commitments within the meaning of point (b) of the first subparagraph of Article 112(1), the \nadoption of a financing decision or the closing of the consultation of the departments concerned within each Union \ninstitution on the adoption of the financing decision. ', ' \nAppropriations carried over in accordance with point (a) of the first subparagraph of Article 12(2) which have not \nbeen committed by 31 March of the following financial year, or by 31 December of the following financial year for \namounts relating to building projects, shall be automatically cancelled. \nThe Commission shall inform the European Parliament and the Council of the appropriations cancelled in accordance \nwith the first subparagraph within one month following the cancellation. ']",only before 31 december of the financial year for reasons not attributable to the authorising officer
preparatory stage,be,follow financial year,sufficiently advanced to make it reasonable to expect that the commitment will be made by 31 march of the following financial year or in relation to building projects by 31 december of the following financial year,"['commitment', '31 march', 'follow financial year', 'relation', 'building project', '31 december', 'follow financial year']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 13  Detailed provisions on cancellation and carry-over of appropriations ,"[' \nThe commitment appropriations and the non-differentiated appropriations referred to in point (a) of the first \nsubparagraph of Article 12(2) may be carried over only if the commitments could not be made before 31 December \nof the financial year for reasons not attributable to the authorising officer and if the preparatory stages are sufficiently \nadvanced to make it reasonable to expect that the commitment will be made by 31 March of the following financial year, \nor, in relation to building projects, by 31 December of the following financial year. ', ' \nThe preparatory stages referred to in point (a) of the first subparagraph of Article 12(2), which shall be completed \nby 31 December of the financial year in order to allow a carry-over to the following financial year, are in particular: \n(a) for individual budgetary commitments within the meaning of point (a) of the first subparagraph of Article 112(1), the \ncompletion of the selection of potential contractors, beneficiaries, prize winners or delegates; \n(b) for global budgetary commitments within the meaning of point (b) of the first subparagraph of Article 112(1), the \nadoption of a financing decision or the closing of the consultation of the departments concerned within each Union \ninstitution on the adoption of the financing decision. ', ' \nAppropriations carried over in accordance with point (a) of the first subparagraph of Article 12(2) which have not \nbeen committed by 31 March of the following financial year, or by 31 December of the following financial year for \namounts relating to building projects, shall be automatically cancelled. \nThe Commission shall inform the European Parliament and the Council of the appropriations cancelled in accordance \nwith the first subparagraph within one month following the cancellation. ']",sufficiently advanced to make it reasonable to expect that the commitment will be made by 31 march of the following financial year or in relation to building projects by 31 december of the following financial year
