Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
potential recipient interest accounting method,take,account,into account to the greatest extent possible,"['account', 'great extent']",TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"[' \nUnion contributions under direct, shared and indirect management shall help achieve a Union policy objective and \nthe results specified and may take any of the following forms: \n(a) financing not linked to the costs of the relevant operations based on: \n(i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or \n(ii) the achievement of results measured by reference to previously set milestones or through performance indicators; \n(b) reimbursement of eligible costs actually incurred; \n(c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by \nreference to an amount per unit; \n(d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified \nin advance;   \x0c \n(e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by \napplying a percentage; \n(f) a combination of the forms referred to in points (a) to (e). \nUnion contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, \nbe established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, \nin accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this \nparagraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules \nand, in shared management, in accordance with sector-specific rules. ', ' \nWhen determining the appropriate form of a contribution, the potential recipients’ interests and accounting \nmethods shall be taken into account to the greatest extent possible. ', ' \nThe authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the \nfirst subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9). ']",into account to the greatest extent possible
authorise officer responsible,refer,article,to in article 74(9,['article'],TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"[' \nUnion contributions under direct, shared and indirect management shall help achieve a Union policy objective and \nthe results specified and may take any of the following forms: \n(a) financing not linked to the costs of the relevant operations based on: \n(i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or \n(ii) the achievement of results measured by reference to previously set milestones or through performance indicators; \n(b) reimbursement of eligible costs actually incurred; \n(c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by \nreference to an amount per unit; \n(d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified \nin advance;   \x0c \n(e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by \napplying a percentage; \n(f) a combination of the forms referred to in points (a) to (e). \nUnion contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, \nbe established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, \nin accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this \nparagraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules \nand, in shared management, in accordance with sector-specific rules. ', ' \nWhen determining the appropriate form of a contribution, the potential recipients’ interests and accounting \nmethods shall be taken into account to the greatest extent possible. ', ' \nThe authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the \nfirst subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9). ']",to in article 749
appropriate sectorspecific rule,be,auditor,sufficient evidence of the independence and competence of the auditor,"['sufficient evidence', 'independence', 'competence', 'auditor']",TITLE V COMMON RULES,Article 127  Cross-reliance on audits ,"['\nWithout prejudice to existing possibilities for carrying out further audits, where an audit based on internationally accepted \naudit standards providing reasonable assurance has been conducted by an independent auditor on the financial statements \nand reports setting out the use of a Union contribution, that audit shall form the basis of the overall assurance, as further \nspecified, where appropriate, in sector-specific rules, provided that there is sufficient evidence of the independence and \ncompetence of the auditor. To that end, the report of the independent auditor and the related audit documentation shall \nbe made available on request to the European Parliament, the Commission, the Court of Auditors and the audit \nauthorities of Member States. ']",sufficient evidence of the independence and competence of the auditor
purpose financial framework partnership agreement,be,union,to facilitate the achievement of policy objectives of the union by stabilising the contractual terms of the cooperation,"['achievement', 'policy objective', 'union', 'contractual term', 'cooperation']",TITLE V COMMON RULES,Article 130  Financial framework partnerships ,"[' \nThe Commission may establish financial framework partnership agreements for a long-term cooperation with \npersons and entities implementing Union funds pursuant to point (c) of the first subparagraph of Article 62(1) or \nwith beneficiaries. Without prejudice to point (c) of paragraph 4 of this Article, financial framework partnership \nagreements shall be reviewed at least once during the term of every multiannual financial framework. Contribution \nagreements or grant agreements may be signed under such agreements. ', ' \nThe purpose of a financial framework partnership agreement shall be to facilitate the achievement of policy \nobjectives of the Union by stabilising the contractual terms of the cooperation. The financial framework partnership \nagreement shall specify the forms of financial cooperation and shall include an obligation to set out, in the specific \nagreements signed under the financial framework partnership agreement, arrangements for monitoring the achievement \nof specific objectives. Those agreements shall also, on the basis of the results of an ex ante assessment, indicate whether \nthe Commission may rely on the systems and the procedures of the persons or entities implementing Union funds \npursuant to point (c) of the first subparagraph of Article 62(1) or of beneficiaries, including audit procedures. ', ' \nWith a view to optimising costs and benefits of audits and facilitate coordination, audit or verification agreements \nmay be concluded with persons and entities implementing Union funds pursuant to point (c) of the first subparagraph of \nArticle 62(1) or with beneficiaries. Such agreements shall be without prejudice to Articles 127 and 129. ', ' \nIn the case of financial framework partnerships implemented through specific grants: \n(a) the financial framework partnership agreement shall, in addition to paragraph 2, specify: \n(i) the nature of the actions or work programmes foreseen; \n(ii) the procedure for awarding specific grants, in compliance with the principles and procedural rules in Title VIII; \n(b) the financial framework partnership agreement and the specific grant agreement taken as a whole shall comply with \nthe requirements of Article 201; \n(c) the duration of the financial framework partnership shall not exceed four years save in duly justified cases which are \nclearly indicated in the annual activity report referred to in Article 74(9); \n(d) the financial framework partnership shall be implemented in compliance with the principles of transparency and \nequal treatment of applicants; \n(e) the financial framework partnership shall be treated as a grant with regard to programming, ex ante publication and \naward; \n(f) specific grants based on the financial framework partnership shall be subject to the ex post publication procedures set \nout in Article 38. ', ' \nA financial framework partnership agreement implemented through specific grants may provide for the reliance on \nthe systems and the procedures of the beneficiary in accordance with paragraph 2 of this Article, where those systems \nand procedures have been assessed in accordance with Article 154(2), (3) and (4). In such a case, point (d) of \nArticle 196(1) shall not apply. Where the procedures of the beneficiary for providing financing to third parties \nreferred to in point (d) of the first subparagraph of Article 154(4) were positively assessed by the Commission, \nArticles 204 and 205 shall not apply. ', ' \nIn the case of financial framework partnership agreement implemented through specific grants the verification of \nthe financial and operational capacity referred to in Article 198 shall be performed before signature of the financial \nframework partnership agreement. The Commission may rely on an equivalent verification of the financial and oper\xad\national capacity carried out by other donors.   \x0c ', ' \nIn the case of financial framework partnerships implemented through contribution agreements, the financial \nframework partnership agreement and the contribution agreement taken as a whole shall comply with Article 129 \nand Article 155(6). ']",to facilitate the achievement of policy objectives of the union by stabilising the contractual terms of the cooperation
agreement,be,article,without prejudice to articles 127 and,"['prejudice', 'article']",TITLE V COMMON RULES,Article 130  Financial framework partnerships ,"[' \nThe Commission may establish financial framework partnership agreements for a long-term cooperation with \npersons and entities implementing Union funds pursuant to point (c) of the first subparagraph of Article 62(1) or \nwith beneficiaries. Without prejudice to point (c) of paragraph 4 of this Article, financial framework partnership \nagreements shall be reviewed at least once during the term of every multiannual financial framework. Contribution \nagreements or grant agreements may be signed under such agreements. ', ' \nThe purpose of a financial framework partnership agreement shall be to facilitate the achievement of policy \nobjectives of the Union by stabilising the contractual terms of the cooperation. The financial framework partnership \nagreement shall specify the forms of financial cooperation and shall include an obligation to set out, in the specific \nagreements signed under the financial framework partnership agreement, arrangements for monitoring the achievement \nof specific objectives. Those agreements shall also, on the basis of the results of an ex ante assessment, indicate whether \nthe Commission may rely on the systems and the procedures of the persons or entities implementing Union funds \npursuant to point (c) of the first subparagraph of Article 62(1) or of beneficiaries, including audit procedures. ', ' \nWith a view to optimising costs and benefits of audits and facilitate coordination, audit or verification agreements \nmay be concluded with persons and entities implementing Union funds pursuant to point (c) of the first subparagraph of \nArticle 62(1) or with beneficiaries. Such agreements shall be without prejudice to Articles 127 and 129. ', ' \nIn the case of financial framework partnerships implemented through specific grants: \n(a) the financial framework partnership agreement shall, in addition to paragraph 2, specify: \n(i) the nature of the actions or work programmes foreseen; \n(ii) the procedure for awarding specific grants, in compliance with the principles and procedural rules in Title VIII; \n(b) the financial framework partnership agreement and the specific grant agreement taken as a whole shall comply with \nthe requirements of Article 201; \n(c) the duration of the financial framework partnership shall not exceed four years save in duly justified cases which are \nclearly indicated in the annual activity report referred to in Article 74(9); \n(d) the financial framework partnership shall be implemented in compliance with the principles of transparency and \nequal treatment of applicants; \n(e) the financial framework partnership shall be treated as a grant with regard to programming, ex ante publication and \naward; \n(f) specific grants based on the financial framework partnership shall be subject to the ex post publication procedures set \nout in Article 38. ', ' \nA financial framework partnership agreement implemented through specific grants may provide for the reliance on \nthe systems and the procedures of the beneficiary in accordance with paragraph 2 of this Article, where those systems \nand procedures have been assessed in accordance with Article 154(2), (3) and (4). In such a case, point (d) of \nArticle 196(1) shall not apply. Where the procedures of the beneficiary for providing financing to third parties \nreferred to in point (d) of the first subparagraph of Article 154(4) were positively assessed by the Commission, \nArticles 204 and 205 shall not apply. ', ' \nIn the case of financial framework partnership agreement implemented through specific grants the verification of \nthe financial and operational capacity referred to in Article 198 shall be performed before signature of the financial \nframework partnership agreement. The Commission may rely on an equivalent verification of the financial and oper\xad\national capacity carried out by other donors.   \x0c ', ' \nIn the case of financial framework partnerships implemented through contribution agreements, the financial \nframework partnership agreement and the contribution agreement taken as a whole shall comply with Article 129 \nand Article 155(6). ']",without prejudice to articles 127 and
procedure beneficiary provide financing party,refer,article,where the procedures of the beneficiary for providing financing to third parties referred to in point of the first subparagraph of article 154(4,"['procedure', 'beneficiary', 'financing', 'party', 'point', 'subparagraph', 'article']",TITLE V COMMON RULES,Article 130  Financial framework partnerships ,"[' \nThe Commission may establish financial framework partnership agreements for a long-term cooperation with \npersons and entities implementing Union funds pursuant to point (c) of the first subparagraph of Article 62(1) or \nwith beneficiaries. Without prejudice to point (c) of paragraph 4 of this Article, financial framework partnership \nagreements shall be reviewed at least once during the term of every multiannual financial framework. Contribution \nagreements or grant agreements may be signed under such agreements. ', ' \nThe purpose of a financial framework partnership agreement shall be to facilitate the achievement of policy \nobjectives of the Union by stabilising the contractual terms of the cooperation. The financial framework partnership \nagreement shall specify the forms of financial cooperation and shall include an obligation to set out, in the specific \nagreements signed under the financial framework partnership agreement, arrangements for monitoring the achievement \nof specific objectives. Those agreements shall also, on the basis of the results of an ex ante assessment, indicate whether \nthe Commission may rely on the systems and the procedures of the persons or entities implementing Union funds \npursuant to point (c) of the first subparagraph of Article 62(1) or of beneficiaries, including audit procedures. ', ' \nWith a view to optimising costs and benefits of audits and facilitate coordination, audit or verification agreements \nmay be concluded with persons and entities implementing Union funds pursuant to point (c) of the first subparagraph of \nArticle 62(1) or with beneficiaries. Such agreements shall be without prejudice to Articles 127 and 129. ', ' \nIn the case of financial framework partnerships implemented through specific grants: \n(a) the financial framework partnership agreement shall, in addition to paragraph 2, specify: \n(i) the nature of the actions or work programmes foreseen; \n(ii) the procedure for awarding specific grants, in compliance with the principles and procedural rules in Title VIII; \n(b) the financial framework partnership agreement and the specific grant agreement taken as a whole shall comply with \nthe requirements of Article 201; \n(c) the duration of the financial framework partnership shall not exceed four years save in duly justified cases which are \nclearly indicated in the annual activity report referred to in Article 74(9); \n(d) the financial framework partnership shall be implemented in compliance with the principles of transparency and \nequal treatment of applicants; \n(e) the financial framework partnership shall be treated as a grant with regard to programming, ex ante publication and \naward; \n(f) specific grants based on the financial framework partnership shall be subject to the ex post publication procedures set \nout in Article 38. ', ' \nA financial framework partnership agreement implemented through specific grants may provide for the reliance on \nthe systems and the procedures of the beneficiary in accordance with paragraph 2 of this Article, where those systems \nand procedures have been assessed in accordance with Article 154(2), (3) and (4). In such a case, point (d) of \nArticle 196(1) shall not apply. Where the procedures of the beneficiary for providing financing to third parties \nreferred to in point (d) of the first subparagraph of Article 154(4) were positively assessed by the Commission, \nArticles 204 and 205 shall not apply. ', ' \nIn the case of financial framework partnership agreement implemented through specific grants the verification of \nthe financial and operational capacity referred to in Article 198 shall be performed before signature of the financial \nframework partnership agreement. The Commission may rely on an equivalent verification of the financial and oper\xad\national capacity carried out by other donors.   \x0c ', ' \nIn the case of financial framework partnerships implemented through contribution agreements, the financial \nframework partnership agreement and the contribution agreement taken as a whole shall comply with Article 129 \nand Article 155(6). ']",where the procedures of the beneficiary for providing financing to third parties referred to in point of the first subparagraph of article 1544
award procedure,be,irregularity,subject to irregularities where,['irregularity'],TITLE V COMMON RULES,"Article 131  Suspension, termination and reduction ","[' \nWhere an award procedure has been subject to irregularities or fraud, the authorising officer responsible shall \nsuspend the procedure and may take any necessary measures, including the cancellation of the procedure. The authorising \nofficer responsible shall inform OLAF immediately of suspected cases of fraud. ', ' \nWhere, after the award, the award procedure proves to have been subject to irregularities or fraud, the authorising \nofficer responsible may: \n(a) refuse to enter into the legal commitment or cancel the award of a prize; \n(b) suspend payments; \n(c) suspend the implementation of the legal commitment; \n(d) where appropriate, terminate the legal commitment in whole or with regard to one or more recipients. ', ' \nThe authorising officer responsible may suspend payments or the implementation of the legal commitment where: \n(a) the implementation of the legal commitment proves to have been subject to irregularities, fraud or breach of \nobligations; \n(b) it is necessary to verify whether presumed irregularities, fraud or breach of obligations have actually occurred; \n(c) irregularities, fraud or breach of obligations call into question the reliability or effectiveness of the internal control \nsystems of a person or entity implementing Union funds pursuant to point (c) of the first subparagraph of \nArticle 62(1) or the legality and regularity of the underlying transactions. \nWhere the presumed irregularities, fraud or breach of obligations referred to in point (b) of the first subparagraph are not \nconfirmed, the implementation or payments shall resume as soon as possible. \nThe authorising officer responsible may terminate the legal commitment in whole or with regard to one or more \nrecipients in the cases referred to in points (a) and (c) of the first subparagraph. ', ' \nIn addition to measures referred to in paragraph 2 or 3, the authorising officer responsible may reduce the grant, \nthe prize, the contribution under the contribution agreement or the price due under a contract in proportion to the \nseriousness of the irregularities, fraud or of the breach of obligations, including where the activities concerned were not \nimplemented or were implemented poorly, partially or late. \nIn the case of financing referred to in point (a) of the first subparagraph of Article 125(1) the authorising officer \nresponsible may reduce the contribution proportionally if the results have been achieved poorly, partially or late or \nthe conditions have not been fulfilled. ', ' \nPoints (b), (c) and (d) of paragraph 2 and paragraph 3 shall not apply to applicants in a contest for prizes. ']",subject to irregularities where
authorise officer responsible,take,award procedure,any necessary measures including the cancellation of an award procedure,"['necessary measure', 'cancellation', 'award procedure']",TITLE V COMMON RULES,"Article 131  Suspension, termination and reduction ","[' \nWhere an award procedure has been subject to irregularities or fraud, the authorising officer responsible shall \nsuspend the procedure and may take any necessary measures, including the cancellation of the procedure. The authorising \nofficer responsible shall inform OLAF immediately of suspected cases of fraud. ', ' \nWhere, after the award, the award procedure proves to have been subject to irregularities or fraud, the authorising \nofficer responsible may: \n(a) refuse to enter into the legal commitment or cancel the award of a prize; \n(b) suspend payments; \n(c) suspend the implementation of the legal commitment; \n(d) where appropriate, terminate the legal commitment in whole or with regard to one or more recipients. ', ' \nThe authorising officer responsible may suspend payments or the implementation of the legal commitment where: \n(a) the implementation of the legal commitment proves to have been subject to irregularities, fraud or breach of \nobligations; \n(b) it is necessary to verify whether presumed irregularities, fraud or breach of obligations have actually occurred; \n(c) irregularities, fraud or breach of obligations call into question the reliability or effectiveness of the internal control \nsystems of a person or entity implementing Union funds pursuant to point (c) of the first subparagraph of \nArticle 62(1) or the legality and regularity of the underlying transactions. \nWhere the presumed irregularities, fraud or breach of obligations referred to in point (b) of the first subparagraph are not \nconfirmed, the implementation or payments shall resume as soon as possible. \nThe authorising officer responsible may terminate the legal commitment in whole or with regard to one or more \nrecipients in the cases referred to in points (a) and (c) of the first subparagraph. ', ' \nIn addition to measures referred to in paragraph 2 or 3, the authorising officer responsible may reduce the grant, \nthe prize, the contribution under the contribution agreement or the price due under a contract in proportion to the \nseriousness of the irregularities, fraud or of the breach of obligations, including where the activities concerned were not \nimplemented or were implemented poorly, partially or late. \nIn the case of financing referred to in point (a) of the first subparagraph of Article 125(1) the authorising officer \nresponsible may reduce the contribution proportionally if the results have been achieved poorly, partially or late or \nthe conditions have not been fulfilled. ', ' \nPoints (b), (c) and (d) of paragraph 2 and paragraph 3 shall not apply to applicants in a contest for prizes. ']",any necessary measures including the cancellation of an award procedure
presume irregularity fraud breach obligation,refer,point,where to in point of the first subparagraph,"['point', 'subparagraph']",TITLE V COMMON RULES,"Article 131  Suspension, termination and reduction ","[' \nWhere an award procedure has been subject to irregularities or fraud, the authorising officer responsible shall \nsuspend the procedure and may take any necessary measures, including the cancellation of the procedure. The authorising \nofficer responsible shall inform OLAF immediately of suspected cases of fraud. ', ' \nWhere, after the award, the award procedure proves to have been subject to irregularities or fraud, the authorising \nofficer responsible may: \n(a) refuse to enter into the legal commitment or cancel the award of a prize; \n(b) suspend payments; \n(c) suspend the implementation of the legal commitment; \n(d) where appropriate, terminate the legal commitment in whole or with regard to one or more recipients. ', ' \nThe authorising officer responsible may suspend payments or the implementation of the legal commitment where: \n(a) the implementation of the legal commitment proves to have been subject to irregularities, fraud or breach of \nobligations; \n(b) it is necessary to verify whether presumed irregularities, fraud or breach of obligations have actually occurred; \n(c) irregularities, fraud or breach of obligations call into question the reliability or effectiveness of the internal control \nsystems of a person or entity implementing Union funds pursuant to point (c) of the first subparagraph of \nArticle 62(1) or the legality and regularity of the underlying transactions. \nWhere the presumed irregularities, fraud or breach of obligations referred to in point (b) of the first subparagraph are not \nconfirmed, the implementation or payments shall resume as soon as possible. \nThe authorising officer responsible may terminate the legal commitment in whole or with regard to one or more \nrecipients in the cases referred to in points (a) and (c) of the first subparagraph. ', ' \nIn addition to measures referred to in paragraph 2 or 3, the authorising officer responsible may reduce the grant, \nthe prize, the contribution under the contribution agreement or the price due under a contract in proportion to the \nseriousness of the irregularities, fraud or of the breach of obligations, including where the activities concerned were not \nimplemented or were implemented poorly, partially or late. \nIn the case of financing referred to in point (a) of the first subparagraph of Article 125(1) the authorising officer \nresponsible may reduce the contribution proportionally if the results have been achieved poorly, partially or late or \nthe conditions have not been fulfilled. ', ' \nPoints (b), (c) and (d) of paragraph 2 and paragraph 3 shall not apply to applicants in a contest for prizes. ']",where to in point of the first subparagraph
period,be,year,three years where the funding is of an amount lower than or equal to eur 60 000,"['year', 'funding', 'eur']",TITLE V COMMON RULES,Article 132  Record-keeping ,"[' \nRecipients shall keep records and supporting documents, including statistical records and other records pertaining to \nthe funding, as well as records and documents in an electronic format, for five years following the payment of the \nbalance or, in the absence of such payment, the transaction. This period shall be three years where the funding is of an \namount lower than or equal to EUR 60 000. ', ' \nRecords and documents pertaining to audits, appeals, litigation, the pursuit of claims relating to legal commitments \nor pertaining to OLAF investigations shall be retained until such audits, appeals, litigation, pursuit of claims or inves\xad\ntigations have been closed. For records and documents pertaining to OLAF investigations, the obligation to retain shall \napply once those investigations have been notified to the recipient. ', ' \nRecords and documents shall be kept either in the form of the originals, or certified true copies of the originals, or \non commonly accepted data carriers including electronic versions of original documents or documents existing in \nelectronic version only. Where electronic versions exist, no originals shall be required where such documents meet \nthe applicable legal requirements in order to be considered as equivalent to originals and to be relied on for audit \npurposes. \nL 193/92  \n\x0c ']",three years where the funding is of an amount lower than or equal to eur 60 000
