Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
contracting authority,use,contracting authority,framework contracts that contracting authorities purpose or effect is to prevent restrict or distort competition improperly or in such a way,"['contracting authority', 'effect', 'restrict', 'competition', 'way']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"[' \nAll contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, \nequal treatment and non-discrimination. ', ' \nAll contracts shall be put out to competition on the broadest possible basis, except when use is made of the \nprocedure referred to in point (d) of Article 164(1). \nThe estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a \ncontract be split up for that purpose. \nThe contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. ', ' \nContracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect \nis to prevent, restrict or distort competition. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. ', ' \nThe rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third \nparties, with the exception of the principles of transparency and equal treatment. ']",framework contracts that contracting authorities purpose or effect is to prevent restrict or distort competition improperly or in such a way
contracting authority purpose effect,be,restrict distort competition,to prevent restrict or distort competition,['restrict distort competition'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"[' \nAll contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, \nequal treatment and non-discrimination. ', ' \nAll contracts shall be put out to competition on the broadest possible basis, except when use is made of the \nprocedure referred to in point (d) of Article 164(1). \nThe estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a \ncontract be split up for that purpose. \nThe contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. ', ' \nContracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect \nis to prevent, restrict or distort competition. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. ', ' \nThe rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third \nparties, with the exception of the principles of transparency and equal treatment. ']",to prevent restrict or distort competition
rule procurement lay regulation,apply,activity,to the activities of the jrc on behalf of third parties with the exception of the principles of transparency and equal treatment,"['activity', 'jrc', 'behalf', 'party', 'exception', 'principle', 'transparency', 'equal treatment']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"[' \nAll contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, \nequal treatment and non-discrimination. ', ' \nAll contracts shall be put out to competition on the broadest possible basis, except when use is made of the \nprocedure referred to in point (d) of Article 164(1). \nThe estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a \ncontract be split up for that purpose. \nThe contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. ', ' \nContracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect \nis to prevent, restrict or distort competition. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. ', ' \nThe rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third \nparties, with the exception of the principles of transparency and equal treatment. ']",to the activities of the jrc on behalf of third parties with the exception of the principles of transparency and equal treatment
detailed rule procurement,lay,regulation,in annex i to this regulation,"['annex', 'regulation']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers ,"['\nDetailed rules on procurement are laid down in Annex I to this Regulation. To ensure that Union institutions, when \nawarding contracts on their own account, apply the same standards as those imposed on contracting authorities covered \nby Directives 2014/23/EU and 2014/24/EU, the Commission is empowered to adopt delegated acts in accordance with \nArticle 269 of this Regulation to amend Annex I to this Regulation, in order to align that Annex to amendments to those \nDirectives and to introduce related technical adjustments. ']",in annex i to this regulation
union institution,award,union institution,contracts on union institutions when,"['contract', 'union institution']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers ,"['\nDetailed rules on procurement are laid down in Annex I to this Regulation. To ensure that Union institutions, when \nawarding contracts on their own account, apply the same standards as those imposed on contracting authorities covered \nby Directives 2014/23/EU and 2014/24/EU, the Commission is empowered to adopt delegated acts in accordance with \nArticle 269 of this Regulation to amend Annex I to this Regulation, in order to align that Annex to amendments to those \nDirectives and to introduce related technical adjustments. ']",contracts on union institutions when
union institution,apply,contracting authority,the same standards as those imposed on contracting authorities covered by directives 201423eu and,"['standard', 'contracting authority']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers ,"['\nDetailed rules on procurement are laid down in Annex I to this Regulation. To ensure that Union institutions, when \nawarding contracts on their own account, apply the same standards as those imposed on contracting authorities covered \nby Directives 2014/23/EU and 2014/24/EU, the Commission is empowered to adopt delegated acts in accordance with \nArticle 269 of this Regulation to amend Annex I to this Regulation, in order to align that Annex to amendments to those \nDirectives and to introduce related technical adjustments. ']",the same standards as those imposed on contracting authorities covered by directives 201423eu and
title,apply,technical assistance,to contracts for technical assistance concluded with the eib or the eif,"['contract', 'technical assistance', 'eib', 'eif']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary ,"[' \nA mixed contract covering two or more types of procurement (works, supplies or services) or concessions (works or \nservices) or both, shall be awarded in accordance with the provisions applicable to the type of procurement that \ncharacterises the main subject matter of the contract in question. ', ' \nIn the case of mixed contracts consisting of supplies and services, the main subject matter shall be determined by a \ncomparison of the values of the respective supplies or services. \nA contract covering one type of procurement (works, supplies or services) and concessions (works or services) shall be \nawarded in accordance with the provisions applicable to the public contract concerned. ', ' \nThis Title shall not apply to contracts for technical assistance concluded with the EIB or the EIF. ', ' \nAny references to nomenclatures in the context of procurement shall be made using the Common Procurement \nVocabulary (CPV) as set out in Regulation (EC) No 2195/2002 of the European Parliament and of the Council ( 1 ). ']",to contracts for technical assistance concluded with the eib or the eif
reference nomenclature context procurement,use,regulation,the common procurement vocabulary (cpv) as set out in regulation (ec),"['common procurement vocabulary', 'regulation', 'ec']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary ,"[' \nA mixed contract covering two or more types of procurement (works, supplies or services) or concessions (works or \nservices) or both, shall be awarded in accordance with the provisions applicable to the type of procurement that \ncharacterises the main subject matter of the contract in question. ', ' \nIn the case of mixed contracts consisting of supplies and services, the main subject matter shall be determined by a \ncomparison of the values of the respective supplies or services. \nA contract covering one type of procurement (works, supplies or services) and concessions (works or services) shall be \nawarded in accordance with the provisions applicable to the public contract concerned. ', ' \nThis Title shall not apply to contracts for technical assistance concluded with the EIB or the EIF. ', ' \nAny references to nomenclatures in the context of procurement shall be made using the Common Procurement \nVocabulary (CPV) as set out in Regulation (EC) No 2195/2002 of the European Parliament and of the Council ( 1 ). ']",the common procurement vocabulary  cpv  as set out in regulation  ec 
procedure value threshold,refer,article,to in article 175(1,['article'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"[' \nFor procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the \ncontracting authority shall publish in the Official Journal of the European Union: \n(a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);   \nL 193/111  1).\n\x0c \n(b) a contract award notice on the results of the procedure. ', ' \nProcedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by \nappropriate means. ', ' \nPublication of certain information on a contract award may be withheld where its release would impede law \nenforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of \neconomic operators or might prejudice fair competition between them. ']",to in article 1751
interested economic operator,submit,open procedure,a tender in open procedures,"['tender', 'open procedure']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"[' \nProcurement procedures for awarding concession contracts or public contracts, including framework contracts shall \ntake one of the following forms: \n(a) open procedure; \n(b) restricted procedure, including through a dynamic purchasing system; \n(c) design contest; \n(d) negotiated procedure, including without prior publication; \n(e) competitive dialogue; \n(f) competitive procedure with negotiation; \n(g) innovation partnership; \n(h) procedures involving a call for expression of interest. ', ' \nIn open procedures any interested economic operator may submit a tender. ', ' \nIn restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner\xad\nships, any economic operator may submit a request to participate by providing the information that is requested by the \ncontracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are \nnot in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. \nNotwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to \nparticipate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in \nthe contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure \ngenuine competition. ', ' \nIn all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any \nsubsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum \nrequirements and the criteria specified in the procurement documents shall not be subject to negotiation. \nA contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated \nin the procurement documents that it reserves the possibility to do so. ', ' \nThe contracting authority may use: \n(a) the open or restricted procedure for any purchase; \n(b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in \nArticle 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to \ntender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; \n(c) the design contest to acquire a plan or design selected by a jury after being put out to competition; \n(d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent \npurchase of the resulting supply, services or works; \n(e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service \ncontracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders \nwere submitted in response to an open or restricted procedure after the initial procedure has been completed, and for \ncases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the \nsubject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; \nL 193/112  \n\x0c \n(f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the \nnegotiated procedure without prior publication for specific types of purchases falling outside the scope of \nDirective 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. ', ' \nA dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the \nselection criteria. \nThe contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic \npurchasing system. ']",a tender in open procedures
