Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
title,apply,direct management,to grants awarded under direct management,"['grant', 'direct management']",TITLE VIII GRANTS,Article 180  Scope and form of grants ,"[' \nThis Title applies to grants awarded under direct management. ', ' \nGrants may be awarded in order to finance any of the following: \n(a) an action intended to help achieve a Union policy objective (‘action grants’); \n(b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). \nOperating grants shall take the form of a financial contribution to the work programme of the body referred to in \npoint (b) of the first subparagraph. ', ' \nGrants may take any of the forms provided for in Article 125(1). \nWhere the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of \nArticle 125(1): \n(a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and \n185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; \n(b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, \npoints (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that \nArticle shall apply. ', ' \nEach Union institution may award public contracts or grants for communication activities. Grants may be awarded \nwhere the use of procurement is not appropriate due to the nature of activities. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. \nIn such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not \napply. ']",to grants awarded under direct management
operating grant,refer,point,to in point of the first subparagraph,"['point', 'subparagraph']",TITLE VIII GRANTS,Article 180  Scope and form of grants ,"[' \nThis Title applies to grants awarded under direct management. ', ' \nGrants may be awarded in order to finance any of the following: \n(a) an action intended to help achieve a Union policy objective (‘action grants’); \n(b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). \nOperating grants shall take the form of a financial contribution to the work programme of the body referred to in \npoint (b) of the first subparagraph. ', ' \nGrants may take any of the forms provided for in Article 125(1). \nWhere the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of \nArticle 125(1): \n(a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and \n185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; \n(b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, \npoints (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that \nArticle shall apply. ', ' \nEach Union institution may award public contracts or grants for communication activities. Grants may be awarded \nwhere the use of procurement is not appropriate due to the nature of activities. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. \nIn such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not \napply. ']",to in point of the first subparagraph
regard article 181 procedure requirement,refer,article point,to in paragraphs 2 and 3 of that article points and of the first subparagraph and the second subparagraph of paragraph 4 and paragraph,"['paragraph', 'article point', 'subparagraph', 'second subparagraph', 'paragraph', 'paragraph']",TITLE VIII GRANTS,Article 180  Scope and form of grants ,"[' \nThis Title applies to grants awarded under direct management. ', ' \nGrants may be awarded in order to finance any of the following: \n(a) an action intended to help achieve a Union policy objective (‘action grants’); \n(b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). \nOperating grants shall take the form of a financial contribution to the work programme of the body referred to in \npoint (b) of the first subparagraph. ', ' \nGrants may take any of the forms provided for in Article 125(1). \nWhere the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of \nArticle 125(1): \n(a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and \n185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; \n(b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, \npoints (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that \nArticle shall apply. ', ' \nEach Union institution may award public contracts or grants for communication activities. Grants may be awarded \nwhere the use of procurement is not appropriate due to the nature of activities. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. \nIn such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not \napply. ']",to in paragraphs 2 and 3 of that article points and of the first subparagraph and the second subparagraph of paragraph 4 and paragraph
union institution,award,public contract,public contracts or grants for communication activities,"['public contract', 'grant', 'communication activity']",TITLE VIII GRANTS,Article 180  Scope and form of grants ,"[' \nThis Title applies to grants awarded under direct management. ', ' \nGrants may be awarded in order to finance any of the following: \n(a) an action intended to help achieve a Union policy objective (‘action grants’); \n(b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). \nOperating grants shall take the form of a financial contribution to the work programme of the body referred to in \npoint (b) of the first subparagraph. ', ' \nGrants may take any of the forms provided for in Article 125(1). \nWhere the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of \nArticle 125(1): \n(a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and \n185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; \n(b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, \npoints (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that \nArticle shall apply. ', ' \nEach Union institution may award public contracts or grants for communication activities. Grants may be awarded \nwhere the use of procurement is not appropriate due to the nature of activities. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. \nIn such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not \napply. ']",public contracts or grants for communication activities
grant,award,activity,where the use of procurement is not appropriate due to the nature of activities,"['use', 'procurement', 'nature', 'activity']",TITLE VIII GRANTS,Article 180  Scope and form of grants ,"[' \nThis Title applies to grants awarded under direct management. ', ' \nGrants may be awarded in order to finance any of the following: \n(a) an action intended to help achieve a Union policy objective (‘action grants’); \n(b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). \nOperating grants shall take the form of a financial contribution to the work programme of the body referred to in \npoint (b) of the first subparagraph. ', ' \nGrants may take any of the forms provided for in Article 125(1). \nWhere the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of \nArticle 125(1): \n(a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and \n185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; \n(b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, \npoints (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that \nArticle shall apply. ', ' \nEach Union institution may award public contracts or grants for communication activities. Grants may be awarded \nwhere the use of procurement is not appropriate due to the nature of activities. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. \nIn such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not \napply. ']",where the use of procurement is not appropriate due to the nature of activities
use procurement,be,activity,appropriate where due to the nature of activities,"['nature', 'activity']",TITLE VIII GRANTS,Article 180  Scope and form of grants ,"[' \nThis Title applies to grants awarded under direct management. ', ' \nGrants may be awarded in order to finance any of the following: \n(a) an action intended to help achieve a Union policy objective (‘action grants’); \n(b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). \nOperating grants shall take the form of a financial contribution to the work programme of the body referred to in \npoint (b) of the first subparagraph. ', ' \nGrants may take any of the forms provided for in Article 125(1). \nWhere the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of \nArticle 125(1): \n(a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and \n185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; \n(b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, \npoints (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that \nArticle shall apply. ', ' \nEach Union institution may award public contracts or grants for communication activities. Grants may be awarded \nwhere the use of procurement is not appropriate due to the nature of activities. ', ' \nThe JRC may receive funding charged to appropriations other than research and technological development \nappropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. \nIn such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not \napply. ']",appropriate where due to the nature of activities
grant,refer,article,to in point or of the first subparagraph of article 125(1,"['point', 'subparagraph', 'article']",TITLE VIII GRANTS,"Article 181  Lump sums, unit costs and flat-rate financing ","[' \nWhere the grant takes the form of lump sums, unit costs or flat-rate financing as referred to in point (c), (d) or (e) \nof the first subparagraph of Article 125(1), this Title shall apply, with the exception of the provisions or parts of the \nprovisions related to the verification of eligible costs actually incurred. \nL 193/118  \n\x0c ', ' \nWhere possible and appropriate, lump sums, unit costs or flat rates shall be determined in such a way as to allow \ntheir payment upon achievement of concrete outputs and/or results. ', ' \nUnless otherwise provided in the basic act, the use of lump sums, unit costs or flat-rate financing shall be authorised \nby a decision of the authorising officer responsible, who shall act in accordance with the internal rules of the Union \ninstitution concerned. ', ' \nThe authorisation decision shall contain at least the following: \n(a) justification concerning the appropriateness of such forms of financing with regard to the nature of the supported \nactions or work programmes, as well as to the risks of irregularities and fraud and costs of control; \n(b) identification of the costs or categories of costs covered by lump sums, unit costs or flat-rate financing, which shall be \nconsidered eligible in accordance with points (c), (e) and (f) of Article 186(3) and Article 186(4), and which shall \nexclude ineligible costs under the applicable Union rules; \n(c) description of the methods for determining lump sums, unit costs or flat-rate financing. Those methods shall be based \non one of the following: \n(i) statistical data, similar objective means or an expert judgement provided by internally available experts or \nprocured in accordance with the applicable rules; or \n(ii) beneficiary-by-beneficiary approach, by reference to certified or auditable historical data of the beneficiary or to its \nusual cost accounting practices; \n(d) where possible, the essential conditions triggering the payment, including, where applicable, the achievement of \noutputs and/or results; \n(e) where lump sums, unit costs and flat rates are not output based and/or result based, a justification on why an output \nbased and/or result based approach is not possible or appropriate. \nThe methods referred to in point (c) of the first subparagraph shall ensure: \n(a) the respect for the principle of sound financial management, in particular the appropriateness of the respective \namounts with regard to the required outputs and/or results taking into account foreseeable revenue to be \ngenerated by the actions or work programmes; \n(b) reasonable compliance with the principles of co-financing and no double funding. ', ' \nThe authorisation decision shall apply for the duration of the programme or programmes unless otherwise provided \nin that decision. \nThe authorisation decision may cover the use of lump sums, unit costs or flat rates applicable to more than one specific \nfunding programme where the nature of the activities or of the expenditure allow for a common approach. In such cases, \nthe authorising decision may be adopted by the following: \n(a) the authorising officers responsible where all activities concerned fall under their responsibility; \n(b) the Commission where this is appropriate in view of the nature of the activities or of the expenditure or in view of \nthe number of authorising officers concerned. ', ' \nThe authorising officer responsible may authorise or impose, in the form of flat-rates, funding of the beneficiary’s \nindirect costs up to a maximum of 7 % of total eligible direct costs for the action. A higher flat rate may be authorised by \na reasoned Commission decision. The authorising officer responsible shall report in the annual activity report referred to \nin Article 74(9) on any such decision taken, the flat rate authorised and the reasons leading to that decision. ', ' \nSME owners and other natural persons who do not receive a salary may declare eligible personnel costs for the \nwork carried out by themselves under an action or work programme, on the basis of unit costs authorised in accordance \nwith paragraphs 1 to 6. ', ' \nBeneficiaries may declare personnel costs for the work carried out by volunteers under an action or work \nprogramme, on the basis of unit costs authorised in accordance with paragraphs 1 to 6. ']",to in point or of the first subparagraph of article 1251
title,apply,eligible cost,with the exception of the provisions or parts of the provisions related to the verification of eligible costs,"['exception', 'provision', 'part', 'provision', 'verification', 'eligible cost']",TITLE VIII GRANTS,"Article 181  Lump sums, unit costs and flat-rate financing ","[' \nWhere the grant takes the form of lump sums, unit costs or flat-rate financing as referred to in point (c), (d) or (e) \nof the first subparagraph of Article 125(1), this Title shall apply, with the exception of the provisions or parts of the \nprovisions related to the verification of eligible costs actually incurred. \nL 193/118  \n\x0c ', ' \nWhere possible and appropriate, lump sums, unit costs or flat rates shall be determined in such a way as to allow \ntheir payment upon achievement of concrete outputs and/or results. ', ' \nUnless otherwise provided in the basic act, the use of lump sums, unit costs or flat-rate financing shall be authorised \nby a decision of the authorising officer responsible, who shall act in accordance with the internal rules of the Union \ninstitution concerned. ', ' \nThe authorisation decision shall contain at least the following: \n(a) justification concerning the appropriateness of such forms of financing with regard to the nature of the supported \nactions or work programmes, as well as to the risks of irregularities and fraud and costs of control; \n(b) identification of the costs or categories of costs covered by lump sums, unit costs or flat-rate financing, which shall be \nconsidered eligible in accordance with points (c), (e) and (f) of Article 186(3) and Article 186(4), and which shall \nexclude ineligible costs under the applicable Union rules; \n(c) description of the methods for determining lump sums, unit costs or flat-rate financing. Those methods shall be based \non one of the following: \n(i) statistical data, similar objective means or an expert judgement provided by internally available experts or \nprocured in accordance with the applicable rules; or \n(ii) beneficiary-by-beneficiary approach, by reference to certified or auditable historical data of the beneficiary or to its \nusual cost accounting practices; \n(d) where possible, the essential conditions triggering the payment, including, where applicable, the achievement of \noutputs and/or results; \n(e) where lump sums, unit costs and flat rates are not output based and/or result based, a justification on why an output \nbased and/or result based approach is not possible or appropriate. \nThe methods referred to in point (c) of the first subparagraph shall ensure: \n(a) the respect for the principle of sound financial management, in particular the appropriateness of the respective \namounts with regard to the required outputs and/or results taking into account foreseeable revenue to be \ngenerated by the actions or work programmes; \n(b) reasonable compliance with the principles of co-financing and no double funding. ', ' \nThe authorisation decision shall apply for the duration of the programme or programmes unless otherwise provided \nin that decision. \nThe authorisation decision may cover the use of lump sums, unit costs or flat rates applicable to more than one specific \nfunding programme where the nature of the activities or of the expenditure allow for a common approach. In such cases, \nthe authorising decision may be adopted by the following: \n(a) the authorising officers responsible where all activities concerned fall under their responsibility; \n(b) the Commission where this is appropriate in view of the nature of the activities or of the expenditure or in view of \nthe number of authorising officers concerned. ', ' \nThe authorising officer responsible may authorise or impose, in the form of flat-rates, funding of the beneficiary’s \nindirect costs up to a maximum of 7 % of total eligible direct costs for the action. A higher flat rate may be authorised by \na reasoned Commission decision. The authorising officer responsible shall report in the annual activity report referred to \nin Article 74(9) on any such decision taken, the flat rate authorised and the reasons leading to that decision. ', ' \nSME owners and other natural persons who do not receive a salary may declare eligible personnel costs for the \nwork carried out by themselves under an action or work programme, on the basis of unit costs authorised in accordance \nwith paragraphs 1 to 6. ', ' \nBeneficiaries may declare personnel costs for the work carried out by volunteers under an action or work \nprogramme, on the basis of unit costs authorised in accordance with paragraphs 1 to 6. ']",with the exception of the provisions or parts of the provisions related to the verification of eligible costs
use lump sum unit cost,provide,basic act,otherwise in the basic act,['basic act'],TITLE VIII GRANTS,"Article 181  Lump sums, unit costs and flat-rate financing ","[' \nWhere the grant takes the form of lump sums, unit costs or flat-rate financing as referred to in point (c), (d) or (e) \nof the first subparagraph of Article 125(1), this Title shall apply, with the exception of the provisions or parts of the \nprovisions related to the verification of eligible costs actually incurred. \nL 193/118  \n\x0c ', ' \nWhere possible and appropriate, lump sums, unit costs or flat rates shall be determined in such a way as to allow \ntheir payment upon achievement of concrete outputs and/or results. ', ' \nUnless otherwise provided in the basic act, the use of lump sums, unit costs or flat-rate financing shall be authorised \nby a decision of the authorising officer responsible, who shall act in accordance with the internal rules of the Union \ninstitution concerned. ', ' \nThe authorisation decision shall contain at least the following: \n(a) justification concerning the appropriateness of such forms of financing with regard to the nature of the supported \nactions or work programmes, as well as to the risks of irregularities and fraud and costs of control; \n(b) identification of the costs or categories of costs covered by lump sums, unit costs or flat-rate financing, which shall be \nconsidered eligible in accordance with points (c), (e) and (f) of Article 186(3) and Article 186(4), and which shall \nexclude ineligible costs under the applicable Union rules; \n(c) description of the methods for determining lump sums, unit costs or flat-rate financing. Those methods shall be based \non one of the following: \n(i) statistical data, similar objective means or an expert judgement provided by internally available experts or \nprocured in accordance with the applicable rules; or \n(ii) beneficiary-by-beneficiary approach, by reference to certified or auditable historical data of the beneficiary or to its \nusual cost accounting practices; \n(d) where possible, the essential conditions triggering the payment, including, where applicable, the achievement of \noutputs and/or results; \n(e) where lump sums, unit costs and flat rates are not output based and/or result based, a justification on why an output \nbased and/or result based approach is not possible or appropriate. \nThe methods referred to in point (c) of the first subparagraph shall ensure: \n(a) the respect for the principle of sound financial management, in particular the appropriateness of the respective \namounts with regard to the required outputs and/or results taking into account foreseeable revenue to be \ngenerated by the actions or work programmes; \n(b) reasonable compliance with the principles of co-financing and no double funding. ', ' \nThe authorisation decision shall apply for the duration of the programme or programmes unless otherwise provided \nin that decision. \nThe authorisation decision may cover the use of lump sums, unit costs or flat rates applicable to more than one specific \nfunding programme where the nature of the activities or of the expenditure allow for a common approach. In such cases, \nthe authorising decision may be adopted by the following: \n(a) the authorising officers responsible where all activities concerned fall under their responsibility; \n(b) the Commission where this is appropriate in view of the nature of the activities or of the expenditure or in view of \nthe number of authorising officers concerned. ', ' \nThe authorising officer responsible may authorise or impose, in the form of flat-rates, funding of the beneficiary’s \nindirect costs up to a maximum of 7 % of total eligible direct costs for the action. A higher flat rate may be authorised by \na reasoned Commission decision. The authorising officer responsible shall report in the annual activity report referred to \nin Article 74(9) on any such decision taken, the flat rate authorised and the reasons leading to that decision. ', ' \nSME owners and other natural persons who do not receive a salary may declare eligible personnel costs for the \nwork carried out by themselves under an action or work programme, on the basis of unit costs authorised in accordance \nwith paragraphs 1 to 6. ', ' \nBeneficiaries may declare personnel costs for the work carried out by volunteers under an action or work \nprogramme, on the basis of unit costs authorised in accordance with paragraphs 1 to 6. ']",otherwise in the basic act
authorisation decision,apply,programme,for the duration of the programme or programmes,"['duration', 'programme', 'programme']",TITLE VIII GRANTS,"Article 181  Lump sums, unit costs and flat-rate financing ","[' \nWhere the grant takes the form of lump sums, unit costs or flat-rate financing as referred to in point (c), (d) or (e) \nof the first subparagraph of Article 125(1), this Title shall apply, with the exception of the provisions or parts of the \nprovisions related to the verification of eligible costs actually incurred. \nL 193/118  \n\x0c ', ' \nWhere possible and appropriate, lump sums, unit costs or flat rates shall be determined in such a way as to allow \ntheir payment upon achievement of concrete outputs and/or results. ', ' \nUnless otherwise provided in the basic act, the use of lump sums, unit costs or flat-rate financing shall be authorised \nby a decision of the authorising officer responsible, who shall act in accordance with the internal rules of the Union \ninstitution concerned. ', ' \nThe authorisation decision shall contain at least the following: \n(a) justification concerning the appropriateness of such forms of financing with regard to the nature of the supported \nactions or work programmes, as well as to the risks of irregularities and fraud and costs of control; \n(b) identification of the costs or categories of costs covered by lump sums, unit costs or flat-rate financing, which shall be \nconsidered eligible in accordance with points (c), (e) and (f) of Article 186(3) and Article 186(4), and which shall \nexclude ineligible costs under the applicable Union rules; \n(c) description of the methods for determining lump sums, unit costs or flat-rate financing. Those methods shall be based \non one of the following: \n(i) statistical data, similar objective means or an expert judgement provided by internally available experts or \nprocured in accordance with the applicable rules; or \n(ii) beneficiary-by-beneficiary approach, by reference to certified or auditable historical data of the beneficiary or to its \nusual cost accounting practices; \n(d) where possible, the essential conditions triggering the payment, including, where applicable, the achievement of \noutputs and/or results; \n(e) where lump sums, unit costs and flat rates are not output based and/or result based, a justification on why an output \nbased and/or result based approach is not possible or appropriate. \nThe methods referred to in point (c) of the first subparagraph shall ensure: \n(a) the respect for the principle of sound financial management, in particular the appropriateness of the respective \namounts with regard to the required outputs and/or results taking into account foreseeable revenue to be \ngenerated by the actions or work programmes; \n(b) reasonable compliance with the principles of co-financing and no double funding. ', ' \nThe authorisation decision shall apply for the duration of the programme or programmes unless otherwise provided \nin that decision. \nThe authorisation decision may cover the use of lump sums, unit costs or flat rates applicable to more than one specific \nfunding programme where the nature of the activities or of the expenditure allow for a common approach. In such cases, \nthe authorising decision may be adopted by the following: \n(a) the authorising officers responsible where all activities concerned fall under their responsibility; \n(b) the Commission where this is appropriate in view of the nature of the activities or of the expenditure or in view of \nthe number of authorising officers concerned. ', ' \nThe authorising officer responsible may authorise or impose, in the form of flat-rates, funding of the beneficiary’s \nindirect costs up to a maximum of 7 % of total eligible direct costs for the action. A higher flat rate may be authorised by \na reasoned Commission decision. The authorising officer responsible shall report in the annual activity report referred to \nin Article 74(9) on any such decision taken, the flat rate authorised and the reasons leading to that decision. ', ' \nSME owners and other natural persons who do not receive a salary may declare eligible personnel costs for the \nwork carried out by themselves under an action or work programme, on the basis of unit costs authorised in accordance \nwith paragraphs 1 to 6. ', ' \nBeneficiaries may declare personnel costs for the work carried out by volunteers under an action or work \nprogramme, on the basis of unit costs authorised in accordance with paragraphs 1 to 6. ']",for the duration of the programme or programmes
