Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
union,establish,financial instrument,financial instruments,['financial instrument'],"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",financial instruments
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,"['budgetary guarantee', 'financial assistance', 'budget', 'mean', 'basic act', 'union scope', 'period', 'implementation']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
member state,contribute,union financial instrument,budgetary guarantees or financial assistance to the unions financial instruments,"['budgetary guarantee', 'financial assistance', 'union financial instrument']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance to the unions financial instruments
financial instrument,implement,member state,where under shared management with member states sectorspecific rules,"['share management', 'member state', 'sectorspecific rule']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",where under shared management with member states sectorspecific rules
financial instrument budgetary guarantee,implement,indirect management,where under indirect management,['indirect management'],"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",where under indirect management
entity,rely,system rule,fully on those systems rules and procedures,"['system rule', 'procedure']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",fully on those systems rules and procedures
country,contribute,financial instrument,where to financial instruments or budgetary guarantees,"['financial instrument', 'budgetary guarantee']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",where to financial instruments or budgetary guarantees
court auditor,be,financial instrument,the external auditor responsible for the projects and programmes supported by a financial instrument,"['external auditor', 'project', 'programme', 'financial instrument']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",the external auditor responsible for the projects and programmes supported by a financial instrument
financial instrument budgetary guarantee,use,sound financial management transparency proportionality nondiscrimination equal treatment,in accordance with the principles of sound financial management transparency proportionality nondiscrimination equal treatment and subsidiarity and in accordance with financial instruments and budgetary guarantees objectives,"['accordance', 'principle', 'sound financial management transparency proportionality nondiscrimination equal treatment', 'subsidiarity', 'accordance', 'financial instrument', 'budgetary guarantee']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 209  Principles and conditions applicable to financial instruments and budgetary guarantees ,"[' \nFinancial instruments and budgetary guarantees shall be used in accordance with the principles of sound financial \nmanagement, transparency, proportionality, non-discrimination, equal treatment and subsidiarity, and in accordance with \ntheir objectives. ', ' \nFinancial instruments and budgetary guarantees shall: \n(a) address market failures or sub-optimal investment situations and provide support, in a proportionate manner, only to \nfinal recipients that are deemed economically viable according to internationally accepted standards at the time of the \nUnion financial support; \n(b) achieve additionality by preventing the replacement of potential support and investment from other public or private \nsources; \n(c) not distort competition in the internal market and be consistent with State aid rules; \n(d) achieve a leverage and a multiplier effect, with a target range of values based on an ex ante evaluation for the \ncorresponding financial instrument or budgetary guarantee, by mobilising a global investment exceeding the size of \nthe Union contribution or guarantee, including, where appropriate, the maximisation of private investment; \n(e) be implemented in a way to ensure that there is a common interest of the implementing entities or counterparts \ninvolved in the implementation in achieving the policy objectives defined in the relevant basic act, with provisions on \nfor example co-investment, risk sharing requirements or financial incentives, while preventing a conflict of interests \nwith other activities of the entities or counterparts; \n(f) provide for remuneration of the Union that is consistent with the sharing of risk among financial participants and the \npolicy objectives of the financial instrument or budgetary guarantee; \n(g) where remuneration of the implementing entities or the counterparts involved in the implementation is due, provide \nthat such remuneration is performance-based and comprises: \n(i) administrative fees to remunerate the entity or counterpart for the work carried out in the implementation of a \nfinancial instrument or budgetary guarantee, which shall, to the extent possible, be based on the operations \ncarried out or the amounts disbursed; and \n(ii) where appropriate, policy related incentives to promote the achievement of the policy objectives or incentivise the \nfinancial performance of the financial instrument or budgetary guarantee. \nExceptional expenses may be reimbursed in duly justified cases; \n(h) be based on ex ante evaluations, individually or as part of a programme, in line with Article 34, containing expla\xad\nnations concerning the choice of the type of financial operation taking into account the policy objectives pursued and \nthe associated financial risks and savings for the budget. \nThe evaluations referred to in point (h) of the first subparagraph shall be reviewed and updated to take into account \nthe effect of major socioeconomic changes on the rationale of the financial instrument or budgetary guarantee. ', ' \nWithout prejudice to sector-specific rules for shared management, revenue, including dividends, capital gains, \nguarantee fees and interest on loans and on amounts on fiduciary accounts paid back to the Commission or on \nfiduciary accounts opened for financial instruments or budgetary guarantees and attributable to the support from the \nbudget under a financial instrument or a budgetary guarantee, shall be entered in the budget after deduction of \nmanagement costs and fees. \nAnnual repayments, including capital repayments, guarantees released, and repayments of the principal of loans, paid \nback to the Commission or to fiduciary accounts opened for financial instruments or budgetary guarantees and \nattributable to the support from the budget under a financial instrument or a budgetary guarantee, shall constitute \ninternal assigned revenue in accordance with point (f) of Article 21(3) and shall be used for the same financial instrument \nor budgetary guarantee, without prejudice to Article 215(5), for a period not exceeding the period for the budgetary \ncommitment plus two years, unless otherwise specified in a basic act.   \x0c \nThe Commission shall take into account such internal assigned revenue when proposing the amount for future allo\xad\ncations for financial instruments or budgetary guarantees. \nNotwithstanding the second subparagraph, the outstanding amount of assigned revenue authorised under a basic act that \nis to be repealed or terminates may also be assigned to another financial instrument pursuing similar objectives, where \nthis is provided in the basic act establishing that financial instrument. ', ' \nThe authorising officer responsible for a financial instrument, a budgetary guarantee or a financial assistance shall \nproduce a financial statement covering the period 1 January to 31 December, in accordance with Article 243 and in \ncompliance with the accounting rules referred to in Article 80 and the International Public Sector Accounting Standards \n(IPSAS). \nFor financial instruments and budgetary guarantees implemented under indirect management, the authorising officer \nresponsible shall ensure that unaudited financial statements covering the period 1 January to 31 December prepared in \ncompliance with the accounting rules referred to in Article 80 and with IPSAS, as well as any information necessary to \nproduce financial statements in accordance with Article 82(2), be provided by the entities pursuant to points (c)(ii), (iii), \n(v) and (vi) of the first subparagraph of Article 62(1) by 15 February of the following financial year and that audited \nfinancial statements be provided by those entities by 15 May of the following financial year. ']",in accordance with the principles of sound financial management transparency proportionality nondiscrimination equal treatment and subsidiarity and in accordance with financial instruments and budgetary guarantees objectives
state aid rule,achieve,union contribution,a leverage and a multiplier effect with a target range of values based on an ex ante evaluation for the corresponding financial instrument or budgetary guarantee by mobilising a global investment exceeding the size of the union contribution or guarantee including where appropriate the maximisation of private investment be implemented in a way to ensure that there is a common interest of the implementing entities or counterparts involved in the implementation in achieving the policy objectives defined in the relevant basic act with provisions on for example coinvestment risk sharing requirements or financial incentives while preventing a conflict of interests with other activities of the entities or counterparts provide for remuneration of the union that is consistent with the sharing of risk among financial participants and the policy objectives of the financial instrument or budgetary guarantee where remuneration of the implementing entities or the counterparts involved in the implementation is due provide that such remuneration is performancebased and comprises:,"['leverage', 'multipli effect', 'target range', 'value', 'ex ante evaluation', 'correspond financial instrument', 'budgetary guarantee', 'global investment', 'size', 'union contribution', 'maximisation', 'private investment', 'way', 'common interest', 'implement entity', 'counterpart', 'implementation', 'policy objective', 'relevant basic act', 'provision', 'example', 'coinvestment risk sharing requirement', 'financial incentive', 'conflict', 'interest', 'activity', 'entity', 'counterpart', 'remuneration', 'union', 'share', 'risk', 'financial participant', 'policy objective', 'financial instrument', 'budgetary guarantee', 'remuneration', 'implement entity', 'counterpart', 'implementation', 'remuneration']","TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 209  Principles and conditions applicable to financial instruments and budgetary guarantees ,"[' \nFinancial instruments and budgetary guarantees shall be used in accordance with the principles of sound financial \nmanagement, transparency, proportionality, non-discrimination, equal treatment and subsidiarity, and in accordance with \ntheir objectives. ', ' \nFinancial instruments and budgetary guarantees shall: \n(a) address market failures or sub-optimal investment situations and provide support, in a proportionate manner, only to \nfinal recipients that are deemed economically viable according to internationally accepted standards at the time of the \nUnion financial support; \n(b) achieve additionality by preventing the replacement of potential support and investment from other public or private \nsources; \n(c) not distort competition in the internal market and be consistent with State aid rules; \n(d) achieve a leverage and a multiplier effect, with a target range of values based on an ex ante evaluation for the \ncorresponding financial instrument or budgetary guarantee, by mobilising a global investment exceeding the size of \nthe Union contribution or guarantee, including, where appropriate, the maximisation of private investment; \n(e) be implemented in a way to ensure that there is a common interest of the implementing entities or counterparts \ninvolved in the implementation in achieving the policy objectives defined in the relevant basic act, with provisions on \nfor example co-investment, risk sharing requirements or financial incentives, while preventing a conflict of interests \nwith other activities of the entities or counterparts; \n(f) provide for remuneration of the Union that is consistent with the sharing of risk among financial participants and the \npolicy objectives of the financial instrument or budgetary guarantee; \n(g) where remuneration of the implementing entities or the counterparts involved in the implementation is due, provide \nthat such remuneration is performance-based and comprises: \n(i) administrative fees to remunerate the entity or counterpart for the work carried out in the implementation of a \nfinancial instrument or budgetary guarantee, which shall, to the extent possible, be based on the operations \ncarried out or the amounts disbursed; and \n(ii) where appropriate, policy related incentives to promote the achievement of the policy objectives or incentivise the \nfinancial performance of the financial instrument or budgetary guarantee. \nExceptional expenses may be reimbursed in duly justified cases; \n(h) be based on ex ante evaluations, individually or as part of a programme, in line with Article 34, containing expla\xad\nnations concerning the choice of the type of financial operation taking into account the policy objectives pursued and \nthe associated financial risks and savings for the budget. \nThe evaluations referred to in point (h) of the first subparagraph shall be reviewed and updated to take into account \nthe effect of major socioeconomic changes on the rationale of the financial instrument or budgetary guarantee. ', ' \nWithout prejudice to sector-specific rules for shared management, revenue, including dividends, capital gains, \nguarantee fees and interest on loans and on amounts on fiduciary accounts paid back to the Commission or on \nfiduciary accounts opened for financial instruments or budgetary guarantees and attributable to the support from the \nbudget under a financial instrument or a budgetary guarantee, shall be entered in the budget after deduction of \nmanagement costs and fees. \nAnnual repayments, including capital repayments, guarantees released, and repayments of the principal of loans, paid \nback to the Commission or to fiduciary accounts opened for financial instruments or budgetary guarantees and \nattributable to the support from the budget under a financial instrument or a budgetary guarantee, shall constitute \ninternal assigned revenue in accordance with point (f) of Article 21(3) and shall be used for the same financial instrument \nor budgetary guarantee, without prejudice to Article 215(5), for a period not exceeding the period for the budgetary \ncommitment plus two years, unless otherwise specified in a basic act.   \x0c \nThe Commission shall take into account such internal assigned revenue when proposing the amount for future allo\xad\ncations for financial instruments or budgetary guarantees. \nNotwithstanding the second subparagraph, the outstanding amount of assigned revenue authorised under a basic act that \nis to be repealed or terminates may also be assigned to another financial instrument pursuing similar objectives, where \nthis is provided in the basic act establishing that financial instrument. ', ' \nThe authorising officer responsible for a financial instrument, a budgetary guarantee or a financial assistance shall \nproduce a financial statement covering the period 1 January to 31 December, in accordance with Article 243 and in \ncompliance with the accounting rules referred to in Article 80 and the International Public Sector Accounting Standards \n(IPSAS). \nFor financial instruments and budgetary guarantees implemented under indirect management, the authorising officer \nresponsible shall ensure that unaudited financial statements covering the period 1 January to 31 December prepared in \ncompliance with the accounting rules referred to in Article 80 and with IPSAS, as well as any information necessary to \nproduce financial statements in accordance with Article 82(2), be provided by the entities pursuant to points (c)(ii), (iii), \n(v) and (vi) of the first subparagraph of Article 62(1) by 15 February of the following financial year and that audited \nfinancial statements be provided by those entities by 15 May of the following financial year. ']",a leverage and a multiplier effect with a target range of values based on an ex ante evaluation for the corresponding financial instrument or budgetary guarantee by mobilising a global investment exceeding the size of the union contribution or guarantee including where appropriate the maximisation of private investment be implemented in a way to ensure that there is a common interest of the implementing entities or counterparts involved in the implementation in achieving the policy objectives defined in the relevant basic act with provisions on for example coinvestment risk sharing requirements or financial incentives while preventing a conflict of interests with other activities of the entities or counterparts provide for remuneration of the union that is consistent with the sharing of risk among financial participants and the policy objectives of the financial instrument or budgetary guarantee where remuneration of the implementing entities or the counterparts involved in the implementation is due provide that such remuneration is performancebased and comprises :
