Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
contribution,use,article,to reimburse only the percentage set out in article 17(4) of regulation (eu euratom),"['percentage', 'article', 'regulation', 'eu euratom']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse only the percentage set out in article 174  of regulation  eu euratom 
contribution,use,european political party,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,"['expenditure', 'contract', 'european political party', 'conflict', 'interest']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests
contribution,use,european political party,to directly or indirectly grant any personal advantage in cash or in kind to any individual member or member of staff of a european political party,"['personal advantage', 'cash', 'kind', 'individual member', 'member', 'staff', 'european political party']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to directly or indirectly grant any personal advantage in cash or in kind to any individual member or member of staff of a european political party
contribution,use,european national level,to directly or indirectly finance activities of third parties in particular national political parties or political foundations at european or national level whether in the form of grants donations loans or any other similar agreements,"['activity', 'party', 'particular national political party', 'political foundation', 'european national level', 'form', 'grant donation loan', 'similar agreement']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to directly or indirectly finance activities of third parties in particular national political parties or political foundations at european or national level whether in the form of grants donations loans or any other similar agreements
entity,be,european political party,part of the administrative organisation of european political parties where,"['administrative organisation', 'european political party']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",part of the administrative organisation of european political parties where
entity,set,statute,in the statutes of the latter,['statute'],TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",in the statutes of the latter
contribution,use,article,for any of the purposes excluded by article 22 of regulation (eu euratom,"['purpose', 'article', 'regulation', 'eu euratom']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",for any of the purposes excluded by article 22 of regulation  eu euratom
contribution,be,accordance,subject to the principles of transparency and equal treatment in accordance with the criteria laid down in regulation (eu euratom,"['principle', 'transparency', 'equal treatment', 'accordance', 'criterion', 'regulation', 'eu euratom']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",subject to the principles of transparency and equal treatment in accordance with the criteria laid down in regulation  eu euratom
contribution,award,european parliament,by the european parliament on an annual basis,"['european parliament', 'annual basis']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",by the european parliament on an annual basis
european political party receive contribution,receive,budget,other funding from the budget directly or indirectly,"['funding', 'budget']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",other funding from the budget directly or indirectly
