Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
european parliament council,inform,rule,the court of auditors as soon as possible of all decisions and rules adopted pursuant to articles 12 16 21 29 30 32 and 43,"['court', 'auditor', 'decision', 'rule', 'article']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 254  External audit by the Court of Auditors ,"['\nThe European Parliament, the Council and the Commission shall inform the Court of Auditors, as soon as possible, of all \ndecisions and rules adopted pursuant to Articles 12, 16, 21, 29, 30, 32 and 43. ']",the court of auditors as soon as possible of all decisions and rules adopted pursuant to articles 12 16 21 29 30 32 and 43
relevant act,adopt,treaty,pursuant to the treaties,['treaty'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",pursuant to the treaties
audit member state,have,necessary power,the necessary powers with the competent national departments where,"['necessary power', 'competent national department']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",the necessary powers with the competent national departments where
court auditor,cooperate,trust,in a spirit of trust,"['spirit', 'trust']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",in a spirit of trust
court auditor,be,necessary information,present at the court of auditors in order to obtain all the necessary information for the performance of the task entrusted to it by the treaties or by acts adopted pursuant to the performance of the task entrusted to it by the treaties or by acts adopted pursuant to them,"['court', 'auditor', 'order', 'necessary information', 'performance', 'task', 'treaty', 'act', 'performance', 'task', 'treaty', 'act']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",present at the court of auditors in order to obtain all the necessary information for the performance of the task entrusted to it by the treaties or by acts adopted pursuant to the performance of the task entrusted to it by the treaties or by acts adopted pursuant to them
court auditor,request,union institution,during the audit operations carried out within the framework of budget implementation by or on behalf of any union institution,"['audit operation', 'framework', 'budget implementation', 'behalf', 'union institution']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"[' \nThe examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in \na lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted \npursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take \naccount of the multiannual character of programmes and related supervisory and control systems. ', ' \nIn the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in \nArticle 257, all documents and information relating to the financial management by departments or bodies with regard to \noperations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or \nexpenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in \nMember States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary \npowers, with the competent national departments. The Court of Auditors and the national audit institutions of Member \nStates shall cooperate in a spirit of trust while maintaining their independence. \nIn order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts \nadopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out \nwithin the framework of budget implementation by, or on behalf of, any Union institution. \nAt the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union \ndeposits to enable the Court of Auditors to ensure that external data tally with the accounts. ', ' \nIn order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this \nRegulation applies of the names of the members of its staff who are empowered to audit them. ']",during the audit operations carried out within the framework of budget implementation by or on behalf of any union institution
court auditor,ensure,official memoranda,that all securities and cash on deposit or in hand are checked against vouchers signed by the depositories or against official memoranda of cash and securities,"['security', 'cash', 'deposit', 'hand', 'voucher', 'depository', 'official memoranda', 'cash', 'security']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 256  Checks on securities and cash ,['\nThe Court of Auditors shall ensure that all securities and cash on deposit or in hand are checked against vouchers signed \nby the depositories or against official memoranda of cash and securities held. It may carry out such checks itself. '],that all securities and cash on deposit or in hand are checked against vouchers signed by the depositories or against official memoranda of cash and securities
security cash deposit hand,check,official memoranda,against vouchers signed by the depositories or against official memoranda of cash and securities,"['voucher', 'depository', 'official memoranda', 'cash', 'security']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 256  Checks on securities and cash ,['\nThe Court of Auditors shall ensure that all securities and cash on deposit or in hand are checked against vouchers signed \nby the depositories or against official memoranda of cash and securities held. It may carry out such checks itself. '],against vouchers signed by the depositories or against official memoranda of cash and securities
access,be,audit,relevant for the audit where,['audit'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",relevant for the audit where
operation,check,court,by the court of auditors,"['court', 'auditor']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",by the court of auditors
